File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_simplex_pivotHintPushButton_clicked(),74,62,21,8,8,0,4,34,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_Open_triggered(),15,13,3,0,1,0,1,6,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_Save_as_triggered(),16,15,3,0,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_Quit_triggered(),2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_Undo_triggered(),2,1,1,0,0,0,1,4,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_Redo_triggered(),2,1,1,0,0,0,1,4,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_Clear_triggered(),2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_Fill_w_random_numbers_triggered(),8,8,3,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_Zoom_in_triggered(),2,1,1,0,0,0,1,5,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_Zoom_out_triggered(),2,1,1,0,0,0,1,5,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_Zoom_reset_triggered(),15,1,1,0,2,0,12,16,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_Solve_triggered(),2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_Plot_triggered(),2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_How_to_triggered(),2,1,1,0,0,0,1,5,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_About_triggered(),49,44,2,0,0,0,5,5,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_action_About_Qt_triggered(),2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.cxx,GUI::StyledItemDelegate::StyledItemDelegate(QObject* parent),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericvalidator.cxx,GUI::NumericValidator::NumericValidator(QObject* parent),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericvalidator.cxx,"GUI::NumericValidator::validate(QString& input, int& pos) const",18,17,10,5,1,0,0,0,
